seed,pair_id,modality,corruption_type,severity,ssim,psnr,damage_ssim,norm_edit_distance,bleu,damage_bleu
0,44,image,gaussian_noise,2,0.33261194504580766,24.10832918551777,0.6673880549541924,,,
0,44,image,gaussian_noise,3,0.19559995701114827,20.61520415243386,0.8044000429888517,,,
0,44,image,gaussian_noise,4,0.09365449716705221,16.287715791276593,0.9063455028329478,,,
0,44,image,gaussian_noise,5,0.04830701625900441,12.74311828852315,0.9516929837409955,,,
0,45,image,gaussian_noise,1,0.7318092875297314,30.224644500399933,0.2681907124702686,,,
0,45,image,gaussian_noise,2,0.49290517770027575,24.44883104189349,0.5070948222997242,,,
0,45,image,gaussian_noise,3,0.3671268665043849,21.198127022886055,0.632873133495615,,,
0,45,image,gaussian_noise,4,0.241428452622395,17.251462820518995,0.758571547377605,,,
0,45,image,gaussian_noise,5,0.1555762900995379,13.765566847851225,0.8444237099004621,,,
0,46,image,gaussian_noise,1,0.7776431226027416,30.368428767626153,0.2223568773972584,,,
0,46,image,gaussian_noise,2,0.5503764773805023,24.55264517461581,0.4496235226194977,,,
0,46,image,gaussian_noise,3,0.4123345218394692,21.214600504818318,0.5876654781605308,,,
0,46,image,gaussian_noise,4,0.26124241821932076,17.12157345724966,0.7387575817806793,,,
0,46,image,gaussian_noise,5,0.15662713909986867,13.567072847844813,0.8433728609001313,,,
0,47,image,gaussian_noise,1,0.7145640702747197,30.281141600024824,0.2854359297252803,,,
0,47,image,gaussian_noise,2,0.4641408485642519,24.323423307780907,0.535859151435748,,,
0,47,image,gaussian_noise,3,0.33390183796725686,20.890602674831975,0.6660981620327431,,,
0,47,image,gaussian_noise,4,0.2091511991460986,16.75946144030138,0.7908488008539014,,,
0,47,image,gaussian_noise,5,0.12840792169710288,13.265331214289418,0.8715920783028971,,,
0,48,image,gaussian_noise,1,0.6670649388662245,30.211881327221423,0.33293506113377547,,,
0,48,image,gaussian_noise,2,0.3972727827402525,24.338568088461937,0.6027272172597475,,,
0,48,image,gaussian_noise,3,0.26504126145244045,20.98162664062851,0.7349587385475596,,,
0,48,image,gaussian_noise,4,0.1468858573117853,16.89505328558675,0.8531141426882147,,,
0,48,image,gaussian_noise,5,0.07766758260474936,13.364811742493764,0.9223324173952506,,,
0,49,image,gaussian_noise,1,0.7914663915977459,30.07252585421084,0.2085336084022541,,,
0,49,image,gaussian_noise,2,0.558501646736545,24.126187584209205,0.441498353263455,,,
0,49,image,gaussian_noise,3,0.4118911162538952,20.6999418184035,0.5881088837461048,,,
0,49,image,gaussian_noise,4,0.2535144416474288,16.600851906228,0.7464855583525711,,,
0,49,image,gaussian_noise,5,0.1470196115786212,13.126279167443656,0.8529803884213788,,,
0,50,image,gaussian_noise,1,0.7786401013991457,30.27995182747151,0.22135989860085425,,,
0,50,image,gaussian_noise,2,0.5669103050524812,24.427077234183795,0.4330896949475188,,,
0,50,image,gaussian_noise,3,0.43342663280742794,21.07386036960244,0.5665733671925721,,,
0,50,image,gaussian_noise,4,0.2771291593510809,16.969604743580856,0.722870840648919,,,
0,50,image,gaussian_noise,5,0.16540843600203498,13.443751925231346,0.8345915639979651,,,
0,51,image,gaussian_noise,1,0.7972975647107168,30.42468225917763,0.20270243528928322,,,
0,51,image,gaussian_noise,2,0.5735140763133219,24.654212938637627,0.42648592368667815,,,
0,51,image,gaussian_noise,3,0.43464528141944264,21.362340447030263,0.5653547185805574,,,
0,51,image,gaussian_noise,4,0.28023376411404527,17.277219167475632,0.7197662358859547,,,
0,51,image,gaussian_noise,5,0.17154328096747293,13.697555842978886,0.828456719032527,,,
0,52,image,gaussian_noise,1,0.8323513234756397,30.199540982610575,0.16764867652436033,,,
0,52,image,gaussian_noise,2,0.6746129819192254,24.295759471628685,0.32538701808077464,,,
0,52,image,gaussian_noise,3,0.5741398268346796,20.913268543586938,0.42586017316532043,,,
0,52,image,gaussian_noise,4,0.4377219958042631,16.784946264903674,0.5622780041957369,,,
0,52,image,gaussian_noise,5,0.30714613069079966,13.276968578099442,0.6928538693092003,,,
0,53,image,gaussian_noise,1,0.7843173103374044,30.079649693086452,0.21568268966259563,,,
0,53,image,gaussian_noise,2,0.536108520460964,24.118561892910776,0.463891479539036,,,
0,53,image,gaussian_noise,3,0.38224222413383774,20.71392172054989,0.6177577758661623,,,
0,53,image,gaussian_noise,4,0.2247438636832799,16.651841142864342,0.7752561363167201,,,
0,53,image,gaussian_noise,5,0.12601540035125394,13.223711985709457,0.8739845996487461,,,
0,54,image,gaussian_noise,1,0.8729816975149561,30.233928127393238,0.12701830248504387,,,
0,54,image,gaussian_noise,2,0.7077172508846203,24.371285240460832,0.29228274911537966,,,
0,54,image,gaussian_noise,3,0.5810795085048581,21.040338806497104,0.4189204914951419,,,
0,54,image,gaussian_noise,4,0.40964832731606177,17.01356245680812,0.5903516726839382,,,
0,54,image,gaussian_noise,5,0.26435577675341854,13.524905213133529,0.7356442232465814,,,
0,55,image,gaussian_noise,1,0.8078558860445272,30.50456455381203,0.19214411395547282,,,
0,55,image,gaussian_noise,2,0.5890159646381506,24.676375498521665,0.41098403536184935,,,
0,55,image,gaussian_noise,3,0.4548529113638949,21.298405171825586,0.5451470886361052,,,
0,55,image,gaussian_noise,4,0.3129673105321471,17.18114513305889,0.6870326894678529,,,
0,55,image,gaussian_noise,5,0.20766471108767073,13.579869893027649,0.7923352889123293,,,
0,56,image,gaussian_noise,1,0.6468746386059862,30.151502076033513,0.35312536139401385,,,
0,56,image,gaussian_noise,2,0.38116816058496666,24.204733810843358,0.6188318394150334,,,
0,56,image,gaussian_noise,3,0.25898695342539635,20.755293673469936,0.7410130465746037,,,
0,56,image,gaussian_noise,4,0.15144177011547857,16.52827859870129,0.8485582298845215,,,
0,56,image,gaussian_noise,5,0.08741757513122773,12.963958549060067,0.9125824248687723,,,
0,57,image,gaussian_noise,1,0.720547685410189,30.41504308339107,0.279452314589811,,,
0,57,image,gaussian_noise,2,0.5132987175433142,24.998813052963957,0.48670128245668576,,,
0,57,image,gaussian_noise,3,0.3988242920757261,21.852975552419267,0.6011757079242739,,,
0,57,image,gaussian_noise,4,0.273902725201474,17.850202151056934,0.7260972747985259,,,
0,57,image,gaussian_noise,5,0.1818811262273623,14.169798921504416,0.8181188737726377,,,
0,58,image,gaussian_noise,1,0.7819075893571567,30.075674600848544,0.21809241064284335,,,
0,58,image,gaussian_noise,2,0.5288937229614595,24.11710894966468,0.47110627703854047,,,
0,58,image,gaussian_noise,3,0.37466559888416845,20.682978277226763,0.6253344011158315,,,
0,58,image,gaussian_noise,4,0.21964188579154575,16.510357159117735,0.7803581142084542,,,
0,58,image,gaussian_noise,5,0.1250540672670355,13.017649656725148,0.8749459327329645,,,
0,59,image,gaussian_noise,1,0.6678105825501445,30.052191035332104,0.33218941744985553,,,
0,59,image,gaussian_noise,2,0.4054648685793391,24.049588548565872,0.5945351314206608,,,
0,59,image,gaussian_noise,3,0.2851115081113618,20.59620145848309,0.7148884918886382,,,
0,59,image,gaussian_noise,4,0.1749614707640951,16.366995038006685,0.8250385292359049,,,
0,59,image,gaussian_noise,5,0.10626300311939485,12.891714016556044,0.8937369968806052,,,
0,60,image,gaussian_noise,1,0.6410872332964606,30.060784469715763,0.35891276670353944,,,
0,60,image,gaussian_noise,2,0.3390216033963551,24.059945782760195,0.6609783966036449,,,
0,60,image,gaussian_noise,3,0.20222995939130617,20.542843990494777,0.7977700406086938,,,
0,60,image,gaussian_noise,4,0.0969310149442875,16.173245792468983,0.9030689850557125,,,
0,60,image,gaussian_noise,5,0.047320256344962036,12.50396789231823,0.9526797436550379,,,
0,61,image,gaussian_noise,1,0.7905467835356236,30.18055331455064,0.20945321646437642,,,
