model,text_corruption,text_severity,retention_margin,damage_bleu,bleu,norm_edit_distance,n
pecore_l14_336,replace,4,0.06707932444444445,0.9269787760611964,0.07302122393880353,0.5972556362775436,900
pecore_l14_336,replace,5,0.03271157,0.9702880778986638,0.029711922101336188,0.7938312296470641,900
pecore_l14_336,shuffle,1,0.2228329022222222,0.2374409451754923,0.7625590548245077,0.10400836690542571,900
pecore_l14_336,shuffle,2,0.2211936688888889,0.25001823410441126,0.7499817658955886,0.1109800406675098,900
pecore_l14_336,shuffle,3,0.2096151722222222,0.6139406105492055,0.38605938945079454,0.2958312111366695,900
pecore_l14_336,shuffle,4,0.19845240777777778,0.8226011721113755,0.17739882788862446,0.47512240505489933,900
pecore_l14_336,shuffle,5,0.18777204,0.9082717968039768,0.09172820319602312,0.6472966268296282,900
siglip2_so400m_384,mask,1,0.19527205555555555,0.2593073960921417,0.7406926039078582,0.10175491444354458,900
siglip2_so400m_384,mask,2,0.1764040077777778,0.48365870375197595,0.516341296248024,0.20608330026746588,900
siglip2_so400m_384,mask,3,0.13505985888888888,0.8057447286973335,0.1942552713026665,0.40260547483356746,900
siglip2_so400m_384,mask,4,0.09183123666666666,0.9389351086184394,0.06106489138156052,0.5973945251664325,900
siglip2_so400m_384,mask,5,0.053869886666666665,0.9950839176517325,0.004916082348267413,0.7939166997325341,900
siglip2_so400m_384,replace,1,0.18734746222222223,0.27193500128052844,0.7280649987194715,0.10175491444354458,900
siglip2_so400m_384,replace,2,0.15771015777777778,0.49651853094769743,0.5034814690523025,0.20608330026746588,900
siglip2_so400m_384,replace,3,0.10489015444444444,0.805170789571729,0.1948292104282709,0.40260547483356746,900
siglip2_so400m_384,replace,4,0.060442286666666664,0.9269787760611964,0.07302122393880353,0.5972556362775436,900
siglip2_so400m_384,replace,5,0.02705499,0.9702880778986638,0.029711922101336188,0.7938312296470641,900
siglip2_so400m_384,shuffle,1,0.20238754666666664,0.2374409451754923,0.7625590548245077,0.10400836690542571,900
siglip2_so400m_384,shuffle,2,0.2003731411111111,0.25001823410441126,0.7499817658955886,0.1109800406675098,900
siglip2_so400m_384,shuffle,3,0.18970171333333333,0.6139406105492055,0.38605938945079454,0.2958312111366695,900
siglip2_so400m_384,shuffle,4,0.17750192444444446,0.8226011721113755,0.17739882788862446,0.47512240505489933,900
siglip2_so400m_384,shuffle,5,0.1671153833333333,0.9082717968039768,0.09172820319602312,0.6472966268296282,900
