model,vision_corruption,image_severity,retention_margin,damage_ssim,ssim,psnr,n
pecore_l14_336,cutout,4,0.18114153111111111,0.3621395873406792,0.6378604126593207,10.648275092787229,900
pecore_l14_336,cutout,5,0.16473501,0.5143871594477459,0.4856128405522541,9.01137257989291,900
pecore_l14_336,gaussian_blur,1,0.2282611566666667,0.02537024804334281,0.9746297519566571,35.48775439586865,900
pecore_l14_336,gaussian_blur,2,0.22040795444444444,0.16976987382051717,0.8302301261794828,27.600374594631763,900
pecore_l14_336,gaussian_blur,3,0.21124501444444443,0.32748268978219397,0.672517310217806,24.27631838572786,900
pecore_l14_336,gaussian_blur,4,0.20501393666666665,0.42881369040546896,0.571186309594531,22.452889855286028,900
pecore_l14_336,gaussian_blur,5,0.20055649444444446,0.4767392569648364,0.5232607430351637,21.42337366620449,900
pecore_l14_336,gaussian_noise,1,0.22741044000000002,0.23545858809440068,0.7645414119055993,30.24025643439132,900
pecore_l14_336,gaussian_noise,2,0.22409738111111113,0.4624822561380729,0.5375177438619271,24.37376219217094,900
pecore_l14_336,gaussian_noise,3,0.22158430444444444,0.5952122502852304,0.4047877497147696,21.00048676788988,900
pecore_l14_336,gaussian_noise,4,0.21640185666666667,0.7381454514132174,0.26185454858678264,16.880327157210623,900
pecore_l14_336,gaussian_noise,5,0.20812929333333333,0.8384383538024195,0.16156164619758048,13.341558604242064,900
siglip2_so400m_384,cutout,1,0.19318442111111112,0.05382919568117873,0.9461708043188213,19.749166704127525,900
siglip2_so400m_384,cutout,2,0.18803858444444443,0.10560968979237283,0.8943903102076272,16.620541413468874,900
siglip2_so400m_384,cutout,3,0.17528449444444444,0.208916402347175,0.791083597652825,13.214733854617839,900
siglip2_so400m_384,cutout,4,0.15734175555555557,0.3621395873406792,0.6378604126593207,10.648275092787229,900
siglip2_so400m_384,cutout,5,0.14052740444444445,0.5143871594477459,0.4856128405522541,9.01137257989291,900
siglip2_so400m_384,gaussian_blur,1,0.20881266333333334,0.02537024804334281,0.9746297519566571,35.48775439586865,900
siglip2_so400m_384,gaussian_blur,2,0.20827318777777776,0.16976987382051717,0.8302301261794828,27.600374594631763,900
siglip2_so400m_384,gaussian_blur,3,0.1976498288888889,0.32748268978219397,0.672517310217806,24.27631838572786,900
siglip2_so400m_384,gaussian_blur,4,0.1872370388888889,0.42881369040546896,0.571186309594531,22.452889855286028,900
siglip2_so400m_384,gaussian_blur,5,0.17530295222222222,0.4767392569648364,0.5232607430351637,21.42337366620449,900
siglip2_so400m_384,gaussian_noise,1,0.2055817722222222,0.23545858809440068,0.7645414119055993,30.24025643439132,900
siglip2_so400m_384,gaussian_noise,2,0.20469802555555558,0.4624822561380729,0.5375177438619271,24.37376219217094,900
siglip2_so400m_384,gaussian_noise,3,0.20417877666666667,0.5952122502852304,0.4047877497147696,21.00048676788988,900
siglip2_so400m_384,gaussian_noise,4,0.1993693688888889,0.7381454514132174,0.26185454858678264,16.880327157210623,900
siglip2_so400m_384,gaussian_noise,5,0.18646661,0.8384383538024195,0.16156164619758048,13.341558604242064,900
