
==============================================================================
1. INPUT-SIDE DAMAGE TABLE (model-independent)
==============================================================================
Per (modality, corruption_type, severity): mean damage with bootstrap 95% CI, n pairs.

modality corruption_type  severity             metric    mean   ci_lo   ci_hi   n
openclip_l14_laion2b    gaussian_noise               2            0.2819       0.4625 0.5375 24.3738 900
openclip_l14_laion2b     gaussian_blur               5            0.2633       0.4767 0.5233 21.4234 900
openclip_l14_laion2b            cutout               5            0.1571       0.5144 0.4856  9.0114 900
openclip_l14_laion2b    gaussian_noise               3            0.2784       0.5952 0.4048 21.0005 900
openclip_l14_laion2b    gaussian_noise               4            0.2717       0.7381 0.2619 16.8803 900
openclip_l14_laion2b    gaussian_noise               5            0.2555       0.8384 0.1616 13.3416 900
      pecore_l14_336     gaussian_blur               1            0.2283       0.0254 0.9746 35.4878 900
      pecore_l14_336            cutout               1            0.2157       0.0538 0.9462 19.7492 900
      pecore_l14_336            cutout               2            0.2099       0.1056 0.8944 16.6205 900
      pecore_l14_336     gaussian_blur               2            0.2204       0.1698 0.8302 27.6004 900
      pecore_l14_336            cutout               3            0.1982       0.2089 0.7911 13.2147 900
      pecore_l14_336    gaussian_noise               1            0.2274       0.2355 0.7645 30.2403 900
      pecore_l14_336     gaussian_blur               3            0.2112       0.3275 0.6725 24.2763 900
      pecore_l14_336            cutout               4            0.1811       0.3621 0.6379 10.6483 900
      pecore_l14_336     gaussian_blur               4            0.2050       0.4288 0.5712 22.4529 900
      pecore_l14_336    gaussian_noise               2            0.2241       0.4625 0.5375 24.3738 900
      pecore_l14_336     gaussian_blur               5            0.2006       0.4767 0.5233 21.4234 900
      pecore_l14_336            cutout               5            0.1647       0.5144 0.4856  9.0114 900
      pecore_l14_336    gaussian_noise               3            0.2216       0.5952 0.4048 21.0005 900
      pecore_l14_336    gaussian_noise               4            0.2164       0.7381 0.2619 16.8803 900
      pecore_l14_336    gaussian_noise               5            0.2081       0.8384 0.1616 13.3416 900
  siglip2_so400m_384     gaussian_blur               1            0.2088       0.0254 0.9746 35.4878 900
  siglip2_so400m_384            cutout               1            0.1932       0.0538 0.9462 19.7492 900
  siglip2_so400m_384            cutout               2            0.1880       0.1056 0.8944 16.6205 900
  siglip2_so400m_384     gaussian_blur               2            0.2083       0.1698 0.8302 27.6004 900
  siglip2_so400m_384            cutout               3            0.1753       0.2089 0.7911 13.2147 900
  siglip2_so400m_384    gaussian_noise               1            0.2056       0.2355 0.7645 30.2403 900
  siglip2_so400m_384     gaussian_blur               3            0.1976       0.3275 0.6725 24.2763 900
  siglip2_so400m_384            cutout               4            0.1573       0.3621 0.6379 10.6483 900
  siglip2_so400m_384     gaussian_blur               4            0.1872       0.4288 0.5712 22.4529 900
  siglip2_so400m_384    gaussian_noise               2            0.2047       0.4625 0.5375 24.3738 900
  siglip2_so400m_384     gaussian_blur               5            0.1753       0.4767 0.5233 21.4234 900
  siglip2_so400m_384            cutout               5            0.1405       0.5144 0.4856  9.0114 900
  siglip2_so400m_384    gaussian_noise               3            0.2042       0.5952 0.4048 21.0005 900
  siglip2_so400m_384    gaussian_noise               4            0.1994       0.7381 0.2619 16.8803 900
  siglip2_so400m_384    gaussian_noise               5            0.1865       0.8384 0.1616 13.3416 900

--- TEXT-SIDE: retention_margin vs damage_bleu per condition ---
               model text_corruption  text_severity  retention_margin  damage_bleu   bleu  norm_edit_distance   n
     openai_clip_b32         shuffle              1            0.1496       0.2374 0.7626              0.1040 900
     openai_clip_b32         shuffle              2            0.1479       0.2500 0.7500              0.1110 900
     openai_clip_b32            mask              1            0.1439       0.2593 0.7407              0.1018 900
     openai_clip_b32         replace              1            0.1377       0.2719 0.7281              0.1018 900
     openai_clip_b32            mask              2            0.1272       0.4837 0.5163              0.2061 900
     openai_clip_b32         replace              2            0.1161       0.4965 0.5035              0.2061 900
     openai_clip_b32         shuffle              3            0.1371       0.6139 0.3861              0.2958 900
     openai_clip_b32         replace              3            0.0780       0.8052 0.1948              0.4026 900
     openai_clip_b32            mask              3            0.0984       0.8057 0.1943              0.4026 900
     openai_clip_b32         shuffle              4            0.1278       0.8226 0.1774              0.4751 900
     openai_clip_b32         shuffle              5            0.1199       0.9083 0.0917              0.6473 900
     openai_clip_b32         replace              4            0.0457       0.9270 0.0730              0.5973 900
     openai_clip_b32            mask              4            0.0689       0.9389 0.0611              0.5974 900
     openai_clip_b32         replace              5            0.0224       0.9703 0.0297              0.7938 900
     openai_clip_b32            mask              5            0.0390       0.9951 0.0049              0.7939 900
     openai_clip_l14         shuffle              1            0.1665       0.2374 0.7626              0.1040 900
     openai_clip_l14         shuffle              2            0.1649       0.2500 0.7500              0.1110 900
     openai_clip_l14            mask              1            0.1601       0.2593 0.7407              0.1018 900
     openai_clip_l14         replace              1            0.1543       0.2719 0.7281              0.1018 900
     openai_clip_l14            mask              2            0.1422       0.4837 0.5163              0.2061 900
     openai_clip_l14         replace              2            0.1297       0.4965 0.5035              0.2061 900
     openai_clip_l14         shuffle              3            0.1527       0.6139 0.3861              0.2958 900
     openai_clip_l14         replace              3            0.0892       0.8052 0.1948              0.4026 900
     openai_clip_l14            mask              3            0.1112       0.8057 0.1943              0.4026 900
     openai_clip_l14         shuffle              4            0.1425       0.8226 0.1774              0.4751 900
     openai_clip_l14         shuffle              5            0.1323       0.9083 0.0917              0.6473 900
     openai_clip_l14         replace              4            0.0535       0.9270 0.0730              0.5973 900
     openai_clip_l14            mask              4            0.0780       0.9389 0.0611              0.5974 900
     openai_clip_l14         replace              5            0.0249       0.9703 0.0297              0.7938 900
     openai_clip_l14            mask              5            0.0432       0.9951 0.0049              0.7939 900
openclip_l14_laion2b         shuffle              1            0.2771       0.2374 0.7626              0.1040 900
openclip_l14_laion2b         shuffle              2            0.2751       0.2500 0.7500              0.1110 900
openclip_l14_laion2b            mask              1            0.2675       0.2593 0.7407              0.1018 900
openclip_l14_laion2b         replace              1            0.2492       0.2719 0.7281              0.1018 900
openclip_l14_laion2b            mask              2            0.2436       0.4837 0.5163              0.2061 900
openclip_l14_laion2b         replace              2            0.2120       0.4965 0.5035              0.2061 900
openclip_l14_laion2b         shuffle              3            0.2615       0.6139 0.3861              0.2958 900
openclip_l14_laion2b         replace              3            0.1487       0.8052 0.1948              0.4026 900
openclip_l14_laion2b            mask              3            0.1950       0.8057 0.1943              0.4026 900
openclip_l14_laion2b         shuffle              4            0.2493       0.8226 0.1774              0.4751 900
openclip_l14_laion2b         shuffle              5            0.2356       0.9083 0.0917              0.6473 900
openclip_l14_laion2b         replace              4            0.0892       0.9270 0.0730              0.5973 900
openclip_l14_laion2b            mask              4            0.1393       0.9389 0.0611              0.5974 900
openclip_l14_laion2b         replace              5            0.0438       0.9703 0.0297              0.7938 900
openclip_l14_laion2b            mask              5            0.0760       0.9951 0.0049              0.7939 900
      pecore_l14_336         shuffle              1            0.2228       0.2374 0.7626              0.1040 900
      pecore_l14_336         shuffle              2            0.2212       0.2500 0.7500              0.1110 900
      pecore_l14_336            mask              1            0.2156       0.2593 0.7407              0.1018 900
      pecore_l14_336         replace              1            0.2017       0.2719 0.7281              0.1018 900
      pecore_l14_336            mask              2            0.1960       0.4837 0.5163              0.2061 900
      pecore_l14_336         replace              2            0.1689       0.4965 0.5035              0.2061 900
      pecore_l14_336         shuffle              3            0.2096       0.6139 0.3861              0.2958 900
      pecore_l14_336         replace              3            0.1154       0.8052 0.1948              0.4026 900
      pecore_l14_336            mask              3            0.1560       0.8057 0.1943              0.4026 900
      pecore_l14_336         shuffle              4            0.1985       0.8226 0.1774              0.4751 900
      pecore_l14_336         shuffle              5            0.1878       0.9083 0.0917              0.6473 900
      pecore_l14_336         replace              4            0.0671       0.9270 0.0730              0.5973 900
      pecore_l14_336            mask              4            0.1114       0.9389 0.0611              0.5974 900
      pecore_l14_336         replace              5            0.0327       0.9703 0.0297              0.7938 900
      pecore_l14_336            mask              5            0.0656       0.9951 0.0049              0.7939 900
  siglip2_so400m_384         shuffle              1            0.2024       0.2374 0.7626              0.1040 900
  siglip2_so400m_384         shuffle              2            0.2004       0.2500 0.7500              0.1110 900
  siglip2_so400m_384            mask              1            0.1953       0.2593 0.7407              0.1018 900
  siglip2_so400m_384         replace              1            0.1873       0.2719 0.7281              0.1018 900
  siglip2_so400m_384            mask              2            0.1764       0.4837 0.5163              0.2061 900
  siglip2_so400m_384         replace              2            0.1577       0.4965 0.5035              0.2061 900
  siglip2_so400m_384         shuffle              3            0.1897       0.6139 0.3861              0.2958 900
  siglip2_so400m_384         replace              3            0.1049       0.8052 0.1948              0.4026 900
  siglip2_so400m_384            mask              3            0.1351       0.8057 0.1943              0.4026 900
  siglip2_so400m_384         shuffle              4            0.1775       0.8226 0.1774              0.4751 900
  siglip2_so400m_384         shuffle              5            0.1671       0.9083 0.0917              0.6473 900
  siglip2_so400m_384         replace              4            0.0604       0.9270 0.0730              0.5973 900
  siglip2_so400m_384            mask              4            0.0918       0.9389 0.0611              0.5974 900
  siglip2_so400m_384         replace              5            0.0271       0.9703 0.0297              0.7938 900
  siglip2_so400m_384            mask              5            0.0539       0.9951 0.0049              0.7939 900

--- Slope of retention_margin ~ damage, per model per modality ---
Steeper negative slope = retrieval-side is more sensitive to damage in this modality.
Note: image SSIM and text BLEU are NOT commensurate. Compare *shapes* across modalities, not raw slopes.
               model modality   slope  intercept     R2     n
     openai_clip_b32    image -0.0173     0.1425 0.0116 13500
     openai_clip_b32     text -0.0974     0.1675 0.2782 13500
     openai_clip_l14    image -0.0066     0.1584 0.0015 13500
     openai_clip_l14     text -0.1077     0.1866 0.2729 13500
openclip_l14_laion2b    image -0.0237     0.2662 0.0086 13500
openclip_l14_laion2b     text -0.1683     0.3073 0.2854 13500
      pecore_l14_336    image -0.0151     0.2144 0.0068 13500
      pecore_l14_336     text -0.1384     0.2483 0.3084 13500
  siglip2_so400m_384    image -0.0162     0.1948 0.0083 13500
  siglip2_so400m_384     text -0.1318     0.2278 0.3093 13500

==============================================================================
3. QUINTILE-BINNED CALIBRATION TEST (matched within-modality damage)
==============================================================================
For each modality, sort all (pair × corruption × severity) observations by input
damage, divide into 5 equal-N quintiles, and within each matched quintile compare
the mean retention_margin (image-side image-corrupted vs text-side text-corrupted).
The asymmetry headline survives if text-side retention_margin is consistently
LOWER than image-side retention_margin within matched within-modality damage
