model,metric,vision_corruption,image_severity,text_corruption,text_severity,seed_a,seed_b,spearman_rho,p,n
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,2,1,2,-0.0460951836514731,0.14522438139269012,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,3,0,1,0.012217856249971876,0.6995753887748283,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,3,0,2,-0.04723951841845118,0.13548698194603948,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,3,1,2,-0.03117305242211162,0.3247297532054049,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,4,0,1,0.015363359390799865,0.6274968334639283,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,4,0,2,0.015541376047383981,0.6235138500371125,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,4,1,2,-0.03707556798867222,0.24145058567608976,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,5,0,1,-0.028223207869889983,0.3726301406658041,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,5,0,2,0.006886285677879343,0.8278236229706039,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,mask,5,1,2,-0.010149468139369254,0.7485429479083118,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,1,0,1,-0.03135706131235304,0.3218805807686842,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,1,0,2,-0.01485027539173122,0.6390371434846573,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,1,1,2,0.0015648272354578687,0.9605827399005403,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,2,0,1,-0.027461751819054487,0.38567123279165827,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,2,0,2,-0.026969022489362268,0.3942564593480444,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,2,1,2,0.01100249348978782,0.7282121508792377,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,3,0,1,-0.03526892687200563,0.2651706103172321,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,3,0,2,-0.05968228072325232,0.05920864787626425,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,3,1,2,0.012998556543141018,0.6813998304758584,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,4,0,1,0.023163086673740233,0.46437419350415243,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,4,0,2,-0.020489331127034834,0.5175108584335728,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,4,1,2,-0.025646407027972187,0.41786574921227165,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,5,0,1,-0.01702266374120489,0.5908051825784673,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,5,0,2,0.04377256390595543,0.16662141703787245,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,replace,5,1,2,-0.014198782961460446,0.6538169411706451,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,1,0,1,0.04855389918248185,0.12493281053547375,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,1,0,2,-0.05981627888030281,0.058639788381692766,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,1,1,2,-0.029784372731280526,0.3467585177996159,1000
