model,n_text_layers,layer_index,layer_fraction,n_captions,mean_cosine_clean_vs_mask_sev2,min_cosine,max_cosine
openclip_l14_laion2b,12,9,0.8333333333333334,24,0.8969249750177065,0.7276851534843445,0.976241946220398
openclip_l14_laion2b,12,10,0.9166666666666666,24,0.9083463475108147,0.7436830997467041,0.9833464026451111
openclip_l14_laion2b,12,11,1.0,24,0.9047880669434866,0.7714918255805969,0.9846140742301941
siglip2_so400m_384,27,0,0.037037037037037035,24,0.9923870960871378,0.9806810021400452,0.9973825812339783
siglip2_so400m_384,27,1,0.07407407407407407,24,0.9872201755642891,0.9751839637756348,0.996292769908905
siglip2_so400m_384,27,2,0.1111111111111111,24,0.9823906471331915,0.9694411754608154,0.9953054785728455
siglip2_so400m_384,27,3,0.14814814814814814,24,0.978509304424127,0.9652479887008667,0.993107795715332
siglip2_so400m_384,27,4,0.18518518518518517,24,0.9717045923074087,0.9497320652008057,0.9912527203559875
siglip2_so400m_384,27,5,0.2222222222222222,24,0.9578505729635557,0.9265518188476562,0.9854046106338501
siglip2_so400m_384,27,6,0.25925925925925924,24,0.9403464744488398,0.8606680631637573,0.9790022373199463
siglip2_so400m_384,27,7,0.2962962962962963,24,0.9377449055512747,0.8488463163375854,0.9763275980949402
siglip2_so400m_384,27,8,0.3333333333333333,24,0.9363512918353081,0.84416264295578,0.9756473302841187
siglip2_so400m_384,27,9,0.37037037037037035,24,0.9249749531348547,0.8164542317390442,0.9678481221199036
siglip2_so400m_384,27,10,0.4074074074074074,24,0.9148857071995735,0.7619451284408569,0.9671626687049866
siglip2_so400m_384,27,11,0.4444444444444444,24,0.9123942777514458,0.7322938442230225,0.9660253524780273
siglip2_so400m_384,27,12,0.48148148148148145,24,0.9104775215188662,0.7390112280845642,0.9663107395172119
siglip2_so400m_384,27,13,0.5185185185185185,24,0.9145182917515436,0.7586911916732788,0.9651638269424438
siglip2_so400m_384,27,14,0.5555555555555556,24,0.9078069031238556,0.7337653636932373,0.9617700576782227
siglip2_so400m_384,27,15,0.5925925925925926,24,0.9008528515696526,0.6806942224502563,0.9652261734008789
siglip2_so400m_384,27,16,0.6296296296296297,24,0.9033124322692553,0.7137301564216614,0.9665189981460571
siglip2_so400m_384,27,17,0.6666666666666666,24,0.9017972325285276,0.7150444388389587,0.967131495475769
siglip2_so400m_384,27,18,0.7037037037037037,24,0.8972639987866083,0.6784415245056152,0.9682585597038269
siglip2_so400m_384,27,19,0.7407407407407407,24,0.9005048225323359,0.7139506340026855,0.9699578285217285
siglip2_so400m_384,27,20,0.7777777777777778,24,0.8978859757383665,0.7066755294799805,0.9720645546913147
siglip2_so400m_384,27,21,0.8148148148148148,24,0.8959206019838651,0.7283624410629272,0.972242534160614
siglip2_so400m_384,27,22,0.8518518518518519,24,0.8932335947950681,0.7194861769676208,0.972254753112793
siglip2_so400m_384,27,23,0.8888888888888888,24,0.8917572697003683,0.6973553895950317,0.9784459471702576
siglip2_so400m_384,27,24,0.9259259259259259,24,0.8799319714307785,0.6214058995246887,0.9759715795516968
siglip2_so400m_384,27,25,0.9629629629629629,24,0.8763460516929626,0.6254504323005676,0.9755305051803589
siglip2_so400m_384,27,26,1.0,24,0.876473605632782,0.6635897159576416,0.9807497262954712
pecore_l14_336,24,0,0.041666666666666664,24,0.9906077682971954,0.9630032777786255,0.9987402558326721
